iteration	t
1	3,15,16,21,35,41,53,57,61,63,64,137,166,193,240,287,369,503,630,824,834,943,1024,1235,1291,1318,1358,1413,1455,1651,2181,2245,2318,2492,2719,3017,3330,4385,5773,7443,8027,12034,16436,22229,35705,36735,90835,205498
2	4,14,42,53,82,89,103,116,156,172,199,208,243,259,265,279,303,304,311,313,351,442,469,472,482,503,523,588,742,970,1167,1364,1456,1671,1867,1981,2123,3781,3875,3947,5297,6362,6586,7818,15511
3	8,9,19,25,29,83,90,97,101,135,148,154,178,240,242,264,316,353,359,425,459,463,537,626,680,689,727,759,762,848,859,875,948,1168,1308,1334,1399,1407,1664,1757,1769,5786,7680,9250,11333,18844,64416,165417
4	14,29,34,38,39,105,137,139,161,186,187,194,237,242,341,344,347,364,436,451,487,514,516,519,591,595,602,687,805,851,908,931,963,1038,1049,1186,1193,1451,1453,1883,2702,2829,3307,4913,5663,6085,40530
5	5,14,23,53,80,97,108,120,144,182,208,303,334,363,372,381,399,455,593,603,606,611,763,822,867,891,959,1035,1063,1152,1269,1337,1391,1513,1876,1939,6583,6682,7168,8162,14941,15547,18905,22432,23759,37404
6	1,5,20,54,57,64,69,109,165,172,183,210,254,262,274,301,357,382,384,427,475,496,582,598,608,751,782,1068,1257,1983,1984,2846,2992,3198,3445,3639,3817,3935,3950,5081,5340,9190,12502,15539,36945,92920
7	3,34,38,39,57,72,77,87,124,210,213,270,322,372,395,438,468,479,502,545,643,868,873,1022,1036,1089,1144,1641,2040,2158,2218,3148,4193,4196,5743,5963,6162,8026,11302,11728,13922,14021,14888,15405
8	72,84,116,123,128,163,170,172,176,194,222,236,258,275,337,338,395,402,406,409,545,548,549,551,563,636,682,766,831,839,901,919,1157,1188,1326,2173,2348,2493,2601,4891,6571,6704,8195,17001,101969,158262,159549
9	9,24,28,33,54,60,96,125,137,152,164,166,167,176,221,371,429,514,572,599,650,716,867,880,949,1009,1366,1393,1430,1829,2507,2852,3169,3758,3838,4335,5312,6162,7464,17171,24987,26494,36604
10	41,55,57,66,121,158,167,188,209,289,303,319,324,337,393,417,439,586,674,718,765,805,954,971,983,1020,1082,1089,1101,1158,1184,2289,2647,4397,6256,6374,6641,7366,7437,7995,8021,8279,13602,16218,23447,243862
