iteration	t
1	231,234,240,247,254,266,272,274,333,364,366,378,433,444,673,763,833,862,890,1027,1245,1268,1358,1528,1552,1622,2488
2	114,117,125,131,133,134,182,275,295,302,327,1032,1126,1796,2890
3	78,82,94,104,106,124,132,133,150,152,167,181,227,234,242,297,315,937,943,962,975,993,1100,1109,1111,1124,1146,1185,1242
4	21,24,34,54,75,92,96,113,263,3161
5	59,60,146,215,223,292,305,314,465,875
6	41,64,68
7	16,255,298,306,367
8	21,129,1292
9	20,91,92,335,870,881,4503,4755,8279,8783,8806,8820
10	16,93,105,153,161
