iteration	t
1	17,22,24,48,76,108,123,129,135,140,154,160,191,194,216,227,252,278,322,360,409,443,477,515,524,598,614,626,702,750,994,1115,1195,1288,1403,1821,1889,1901,2165,2570,2849,2921,3034,3469,3648,3661,4801,5240,6031,6394,6939,16173,18319,19269
2	17,18,40,52,65,84,100,140,162,178,209,210,215,256,267,271,281,282,323,350,356,377,417,435,447,491,530,543,549,581,825,1045,1089,1152,1204,1224,1494,1694,1758,2248,2415,2591,4875,4904,4928,11836,123904,128806
3	24,31,60,67,74,82,106,109,133,138,144,154,180,199,268,305,323,359,368,471,568,586,592,641,656,680,715,759,1274,1375,1423,1616,1648,1653,1788,1940,2400,2526,2634,2768,2995,3057,3219,3255,34821,38187,204206,204215,281188
4	14,16,23,60,71,78,90,99,101,118,157,226,250,268,347,368,383,426,427,448,493,521,613,665,697,784,841,843,854,895,901,922,1046,1060,1077,1274,1416,1481,1575,1647,1849,2292,2303,2402,2456,2575,3561,5441,6926,7209,8677,9044,9973,12379,47330,57790
5	1,3,10,28,36,97,108,114,130,159,168,171,178,184,202,250,261,374,388,411,465,472,479,485,504,522,607,630,646,886,998,1002,1003,1057,1255,1261,1332,1352,1386,1431,1590,1847,1981,2826,2838,3169,9654,18792
6	17,30,32,63,68,76,107,111,125,147,148,174,176,180,232,261,304,325,337,390,409,489,498,515,612,783,884,985,1004,1050,1178,1183,1415,1418,1559,1601,2010,2228,2711,4800,4873,5839,8381,9897,10491,86841
7	1,3,11,34,50,112,116,117,128,131,153,158,163,221,338,351,406,489,494,518,529,569,572,636,652,666,667,688,794,862,1023,1139,1399,1564,1877,2367,2576,2635,2863,3845,4849,4947,5678,6337,7429,10255,10357,20026,21796,22983
8	3,7,32,54,74,82,110,112,122,124,185,187,193,200,212,228,244,267,271,320,335,359,462,484,498,527,615,709,795,837,914,985,1024,1147,1149,1204,1248,1282,1453,1577,2014,2160,2161,2242,3409,3858,4840,5168,8435,12940
9	10,19,30,34,86,91,98,99,129,150,178,233,234,236,247,274,289,303,335,363,369,394,408,456,463,692,827,909,926,941,1278,1317,1346,1555,1636,1768,2052,2315,2497,2662,3210,5857,5864,6577,6632,11032,20814,43423
10	23,32,49,71,76,108,126,143,192,199,219,244,352,414,421,454,457,472,497,531,585,694,759,869,953,957,1057,1072,1316,1325,1413,1785,1962,2173,3631,4807,5394,5913,6901,10863,15211,15753,17910,21191,25763,130656
