cut	123
Partition 0	2200,a_o[1],2199
Partition 1	2185,2183,2186,2184
Partition 2	2192,2189,2190
Partition 3	2198,a_o[0],2195,2197
Partition 4	2191,2193,2196,2194
Partition 5	t_i[1],2073,2121
Partition 6	2117,2119,2122,2118
Partition 7	2187,2180,2181
Partition 8	s_i[1],2064,2125,s_i[0]
Partition 9	2124,2126,2123,2188,2182
Partition 10	m_i[0],2072,2155,2158
Partition 11	2157,2156,t_i[0],2074
Partition 12	2162,2165,2159
Partition 13	2070,2161,2163
Partition 14	a_i[0],2164,2166,2160
Partition 15	2153,2168,2170,2152
Partition 16	2176,2178,2167,2171
Partition 17	2175,2154,2169,2172
Partition 18	m_i[1],2071,2116
Partition 19	2120,2174,2179,2177
Partition 20	2115,2127,2128,2173
Partition 21	2080,2085,2081
Partition 22	c_i[1],2075,2084,2086
Partition 23	2102,2101,d_i[1]
Partition 24	2077,2090,2097,2067
Partition 25	b_i[1],2065,2079,2096
Partition 26	2078,2091,2092
Partition 27	2093,2107,2108,2106
Partition 28	2112,2087,2109,2110
Partition 29	2098,2103,2105,2104
Partition 30	a_i[1],2069,2111,2113,2114
Partition 31	2095,2144,2151
Partition 32	2089,2141,2149,2150
Partition 33	2082,2083,2137
Partition 34	round_i[1],2063,2099,2100
Partition 35	2094,2088,round_i[0],2062
Partition 36	2130,2139,2140
Partition 37	2138,c_i[0],2076,2134
Partition 38	2132,2135,2136,2133
Partition 39	2146,2145,2148,2147
Partition 40	b_i[0],2066,2142,2143
Partition 41	2129,2131,d_i[0],2068
