cut	109
Partition 0	2139,2140
Partition 1	2130,2138
Partition 2	2129,2143,2068
Partition 3	2142,2076
Partition 4	2066,2131,2132
Partition 5	2135,2134,2136,2133
Partition 6	2144,2151,2152
Partition 7	2141,2149,2150
Partition 8	2145,2148
Partition 9	2146,2147
Partition 10	2100,2105,2104
Partition 11	2094,2095,2098
Partition 12	2083,2137
Partition 13	2087,2109,2110
Partition 14	2069,2111,2108
Partition 15	2093,2107,2106
Partition 16	2063,2088,2089
Partition 17	2082,2099,2062
Partition 18	2102,2101,2103
Partition 19	2090,2091,2092
Partition 20	2077,2078,2067
Partition 21	2096,2097
Partition 22	2065,2075
Partition 23	2085,2086
Partition 24	2079,2080,2084,2081
Partition 25	2155,2159
Partition 26	2162,2165
Partition 27	2070,2161,2163
Partition 28	2164,2166
Partition 29	2157,2156,2074
Partition 30	2072,2158,2160
Partition 31	2167,2171
Partition 32	2154,2169,2172
Partition 33	2153,2168,2170
Partition 34	2127,2174,2176
Partition 35	2128,2175,2178
Partition 36	2179,2173,2177
Partition 37	2120,2180,2181
Partition 38	2199,2184
Partition 39	2200,2185,2186
Partition 40	2196,2195,2197
Partition 41	2198,2194
Partition 42	2187,2189,2190
Partition 43	2191,2192,2193
Partition 44	2123,2188
Partition 45	2124,2183,2182
Partition 46	2064,2125,2126
Partition 47	2112,2113,2116
Partition 48	2071,2115,2114
Partition 49	2073,2119,2122
Partition 50	2117,2121,2118
