targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
7	250	7	17	lc	True	True	True	True	4	2	7	6
7	473	7	17	lc	True	True	True	True	4	2	7	6
7	476	7	17	lc	True	True	True	True	4	2	7	6
7	861	7	17	lc	True	True	True	True	4	2	7	6
7	1415	7	17	lc	True	True	True	True	4	2	7	6
7	1419	7	17	lc	True	True	True	True	4	2	7	6
7	1668	7	17	lc	True	True	True	True	4	2	7	6
7	1695	7	17	lc	True	True	True	True	4	2	7	6
7	1711	7	17	lc	True	True	True	True	4	2	7	6
7	2176	7	17	lc	True	True	True	True	4	2	7	6
7	2186	7	17	lc	True	True	True	True	4	2	7	6
7	2198	7	17	lc	True	True	True	True	4	2	7	6
7	2803	7	17	lc	True	True	True	True	4	2	7	6
12	0	12	17	lc	True	True	True	True	5	5	11	11
12	1	12	17	lc	True	True	True	True	5	5	11	11
12	2	12	17	lc	True	True	True	True	5	5	11	11
12	3	12	17	lc	True	True	True	True	5	5	11	11
12	4	12	17	lc	True	True	True	True	5	5	11	11
12	5	12	17	lc	True	True	True	True	5	5	11	11
12	6	12	17	lc	True	True	True	True	5	5	11	11
12	7	12	17	lc	True	True	True	True	5	5	11	11
12	8	12	17	lc	True	True	True	True	5	5	11	11
12	9	12	17	lc	True	True	True	True	5	5	11	11
12	10	12	17	lc	True	True	True	True	5	5	11	11
12	11	12	17	lc	True	True	True	True	5	5	11	11
12	12	12	17	lc	True	True	True	True	5	5	11	11
12	13	12	17	lc	True	True	True	True	5	5	11	11
12	14	12	17	lc	True	True	True	True	5	5	11	11
12	15	12	17	lc	True	True	True	True	5	5	11	11
12	16	12	17	lc	True	True	True	True	5	5	11	11
12	17	12	17	lc	True	True	True	True	5	5	11	11
12	18	12	17	lc	True	True	True	True	5	5	11	11
12	19	12	17	lc	True	True	True	True	5	5	11	11
12	20	12	17	lc	True	True	True	True	5	5	11	11
12	21	12	17	lc	True	True	True	True	5	5	11	11
12	22	12	17	lc	True	True	True	True	5	5	11	11
12	23	12	17	lc	True	True	True	True	5	5	11	11
12	24	12	17	lc	True	True	True	True	5	5	11	11
12	25	12	17	lc	True	True	True	True	5	5	11	11
12	26	12	17	lc	True	True	True	True	5	5	11	11
12	27	12	17	lc	True	True	True	True	5	5	11	11
12	28	12	17	lc	True	True	True	True	5	5	11	11
12	29	12	17	lc	True	True	True	True	5	5	11	11
12	30	12	17	lc	True	True	True	True	5	5	11	11
12	31	12	17	lc	True	True	True	True	5	5	11	11
12	32	12	17	lc	True	True	True	True	5	5	11	11
12	33	12	17	lc	True	True	True	True	5	5	11	11
12	34	12	17	lc	True	True	True	True	5	5	11	11
12	35	12	17	lc	True	True	True	True	5	5	11	11
12	36	12	17	lc	True	True	True	True	5	5	11	11
12	37	12	17	lc	True	True	True	True	5	5	11	11
12	38	12	17	lc	True	True	True	True	5	5	11	11
12	39	12	17	lc	True	True	True	True	5	5	11	11
12	40	12	17	lc	True	True	True	True	5	5	11	11
12	41	12	17	lc	True	True	True	True	5	5	11	11
12	42	12	17	lc	True	True	True	True	5	5	11	11
12	43	12	17	lc	True	True	True	True	5	5	11	11
12	44	12	17	lc	True	True	True	True	5	5	11	11
12	45	12	17	lc	True	True	True	True	5	5	11	11
12	46	12	17	lc	True	True	True	True	5	5	11	11
12	47	12	17	lc	True	True	True	True	5	5	11	11
12	48	12	17	lc	True	True	True	True	5	5	11	11
12	49	12	17	lc	True	True	True	True	5	5	11	11
12	50	12	17	lc	True	True	True	True	5	5	11	11
12	51	12	17	lc	True	True	True	True	5	5	11	11
12	52	12	17	lc	True	True	True	True	5	5	11	11
12	53	12	17	lc	True	True	True	True	5	5	11	11
12	54	12	17	lc	True	True	True	True	5	5	11	11
12	55	12	17	lc	True	True	True	True	5	5	11	11
12	56	12	17	lc	True	True	True	True	5	5	11	11
