Cell number	Iteration	End Cell Number	Median QS Per Cell	Number of Cells with >=3 QS	Fraction of Cells with >=3 QS	Network Depth
47	1	62	2.94	15	0.24	30
47	2	60	2.88	15	0.25	30
47	3	60	2.93	14	0.23	28
47	4	65	2.85	16	0.25	31
47	5	60	2.98	16	0.27	19
48	1	63	2.92	17	0.27	30
48	2	62	2.9	14	0.23	18
48	3	63	2.9	15	0.24	17
48	4	62	2.92	18	0.29	17
48	5	63	2.89	15	0.24	18
49	1	61	2.95	14	0.23	19
49	2	63	2.98	18	0.29	19
49	3	60	2.87	15	0.25	19
49	4	63	2.86	17	0.27	17
49	5	61	2.87	17	0.28	19
