cut	93
Partition 0	18,19,20
Partition 1	17,16,15
Partition 2	11,13,14
Partition 3	53,52,54
Partition 4	55,12,47
Partition 5	51,49,48,50
Partition 6	76,75
Partition 7	1,0,78
Partition 8	79,77,74
Partition 9	7,9
Partition 10	8,10,56
Partition 11	27,25,26
Partition 12	22,21,23,24
Partition 13	33,35
Partition 14	6,29,28
Partition 15	30,31,32
Partition 16	36,37
Partition 17	40,39,38
Partition 18	43,34,41
Partition 19	44,42,46,45
Partition 20	73,72,70,71
Partition 21	64,66,65
Partition 22	69,68,67
Partition 23	2,3,63
Partition 24	5,4
Partition 25	62,57,61
Partition 26	59,58,60
