Npart	Sol	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
6	3	28	lc	True	True	False	True	3	3	10	10
6	6	28	lc	True	True	False	True	3	3	10	10
4	1	28	lc	False	True	True	True	2	3	7	7
4	2	28	lc	False	True	True	True	2	3	7	7
4	3	28	lc	False	True	True	True	2	3	7	7
4	4	28	lc	False	True	True	True	2	3	7	7
4	5	28	lc	False	True	True	True	2	3	7	7
4	6	28	lc	False	True	True	True	2	3	7	7
4	7	28	lc	False	True	True	True	2	3	7	7
4	8	28	lc	False	True	True	True	2	3	7	7
4	9	28	lc	False	True	True	True	2	3	7	7
4	10	28	lc	False	True	True	True	2	3	7	7
5	9	28	lc	False	True	False	True	3	2	9	9
