cut	39
Partition 0	25,40,44,69
Partition 1	14,50,59
Partition 2	42,65,53
Partition 3	2,13,16,33
Partition 4	11,23,46
Partition 5	8,41,70
Partition 6	0,7,37,71,78
Partition 7	3,10,29,38,58
Partition 8	1,20,32,74
Partition 9	45,72,49,60
Partition 10	26,34,35
Partition 11	9,27,79,48
Partition 12	15,17,30,67
Partition 13	21,22,62,75
Partition 14	6,31,43,61
Partition 15	52,55,76
Partition 16	18,28,39,51
Partition 17	24,73,64,77
Partition 18	12,57,19,66
Partition 19	4,36,63,5
Partition 20	54,47,56,68
