iteration	t
1	1,4,16,17,41,61,64,72,79,149,223,255,283,313,408,446,458,489,499,558,569,592,605,675,719,901,909,1053,1240,1315,1459,1795,1925,2107,2396,2447,3988,4621,4700,5495,6206,6241,6680,10160,12179,14720,19261
2	20,49,57,60,62,79,101,133,185,208,212,255,298,378,386,405,423,476,510,548,589,699,918,939,1336,1355,1414,1433,1454,1469,2185,2278,2287,2298,2443,2926,3264,3377,3802,5314,6385,8866,9892,23959,28444,36006,217401
3	3,20,42,45,59,94,115,121,123,142,159,191,195,204,219,228,234,240,267,292,355,363,371,400,442,494,548,574,705,853,944,1033,1054,1129,1399,1465,1782,1959,1978,2593,2717,6568,15772,20487
4	35,42,60,71,74,90,102,137,153,173,176,178,181,193,196,216,249,282,311,377,421,431,450,544,598,845,1013,1055,1227,1330,1400,1488,1536,1830,1898,2097,2456,2476,2515,2519,3787,3895,3961,4036,4944,10553,16478,355343,355547
5	24,36,65,82,112,135,159,226,277,288,289,306,322,345,359,388,392,393,403,406,512,516,521,642,646,780,901,1054,1066,1067,1337,1590,1615,1659,1805,1853,2267,2493,2615,6367,7589,32567,33553,65647
6	18,33,53,78,85,110,121,242,246,310,321,388,405,497,582,629,632,709,748,800,822,834,999,1018,1103,1106,1115,1117,1243,1307,1317,1328,1465,1586,1638,1740,1914,2076,2263,2708,2778,3715,4056,4188,5086,6513,7928,10365,10923,11965,24651,25404,31861,163265
7	4,21,117,126,167,231,263,267,336,346,351,368,399,558,621,624,677,724,734,744,764,827,880,983,1001,1139,1142,1188,1250,1529,1538,1566,1582,1615,1662,1739,1766,1944,2017,2468,2738,2986,5775,6464,6571,9706,16422,17217,164617,166167
8	1,5,14,24,50,61,70,84,113,125,192,211,220,346,388,394,396,509,547,574,589,600,889,1220,1242,1503,1643,1754,1886,1913,3379,4190,4240,4999,5015,5131,5393,5506,5802,6345,19725,23270,25435,177564,189906
9	8,35,46,51,76,78,113,122,153,191,199,206,253,265,288,290,293,300,367,408,512,564,593,723,765,816,823,928,1164,1174,1179,1256,1379,1503,1746,1872,2081,2583,2604,3376,4140,10470,12449,12864,31703,31878,39687
10	2,4,17,19,27,29,34,43,48,117,123,127,129,130,161,204,209,246,323,375,384,441,467,546,571,591,653,679,727,733,780,1266,1376,1512,1914,2040,2389,2469,2725,3044,3462,3840,4053,4315,4358,7564,10237,12654,18451,20563,21057
