iteration	t
1	3,25,69,125
2	141,299,487,569,1578,5177,5224
3	61,454,494,694,1243
4	209,1250,1572,4004,5725,6808,6853,7405
5	45,367,761,796
6	311,1045,1492,4232
7	24,967,1131,2688,12431,12568,12633,12718
8	336,1557,2562,2646,3364,8063
9	57,1078,2960
10	128,137,2270
11	25,219,355,536,10259,10932,11045,11354
12	103,492,1436,1888,3806,4522,4552,4568,8922
13	409,875,1036,1124,5635,5641
14	134,820,1195,2200
15	607,940,1759,3814,4073,6338,7142,7170
