cut	105
Partition 0	73,74,65
Partition 1	57,11,63
Partition 2	41,32,37
Partition 3	69,50,71
Partition 4	44,68
Partition 5	17,18
Partition 6	3,72,15
Partition 7	12,13
Partition 8	30,27,40
Partition 9	22,39,21
Partition 10	1,58,59
Partition 11	31,45,77
Partition 12	19,48,20
Partition 13	55,62,53,61
Partition 14	5,76
Partition 15	28,26,9
Partition 16	75,10,33
Partition 17	16,29
Partition 18	79,60,38
Partition 19	0,7,46
Partition 20	78,56,64,70
Partition 21	54,47
Partition 22	66,34,42
Partition 23	51,52,49
Partition 24	35,8,67
Partition 25	36,4,2
Partition 26	24,25,23
Partition 27	6,14,43
