iteration	t
1	237,245,267,801,1109,2300,2347,2385,2397,4724,4728,4732,4895,4901,4902,4911
2	214,271,1661,1670,1682,1708,1762,1857,1881,1947,1958,2006,2037
3	877,885,899,923,928,929,934,940,942,1550,1601
4	51,144,157,173,555,569,577,1086,1433,1448,1451
5	2007,2024,2065,2075,2093,2114,2121,2125,2134,2149,2425,2515,2524,2538,2546,2559,2574,2598,2609,2618,2648,2690,2730,2741,2795,3016,3029,3082,3154,3301,3374,3420,3750
6	36,43,52,105,130,1579,1668,1692,1710,1719,1726,1769,3829
7	394,414,416,453,459,471,484,487,495,497,529,635,656,700,747
8	14,18,28,35,38,55,81,307,342,488
9	27,72,533,869,1170,7975,7976,13416,13417,13501,18177
10	41,84,104,118,138,384,9071,10539,10985
