cut	40
Partition 0	7,13
Partition 1	16,14,39
Partition 2	19,21,57
Partition 3	37,49
Partition 4	3,5,6
Partition 5	31,46,63
Partition 6	4,53
Partition 7	10,15,18
Partition 8	20,26,35
Partition 9	2,67,47
Partition 10	43,48,64
Partition 11	23,30,69
Partition 12	28,55
Partition 13	25,44
Partition 14	9,12,34
Partition 15	42,50,52
Partition 16	1,60
Partition 17	54,59,66
Partition 18	27,32
Partition 19	22,45
Partition 20	0,65,68
Partition 21	33,38,58
Partition 22	8,29,40
Partition 23	36,41,62
Partition 24	51,56,61
Partition 25	11,17,24
