cut	94
Partition 0	2130,2139,2140
Partition 1	2129,2138,2068
Partition 2	2142,2143,2076
Partition 3	2066,2131,2132
Partition 4	2135,2134,2136,2137,2133
Partition 5	2146,2099,2100
Partition 6	2145,2148,2147
Partition 7	2144,2151,2150
Partition 8	2088,2089,2141,2149
Partition 9	2063,2082,2083,2062
Partition 10	2077,2078,2067
Partition 11	2090,2091,2092,2093
Partition 12	2096,2097,2075
Partition 13	2065,2079,2080
Partition 14	2085,2084,2086,2081
Partition 15	2112,2113,2110
Partition 16	2069,2111,2087,2109
Partition 17	2102,2101,2103
Partition 18	2094,2095,2098
Partition 19	2107,2108,2105,2106,2104
Partition 20	2072,2156,2074
Partition 21	2157,2158,2160
Partition 22	2164,2166,2168
Partition 23	2163,2155,2159
Partition 24	2070,2162,2161,2165
Partition 25	2153,2170,2152
Partition 26	2154,2167,2169,2172
Partition 27	2176,2175,2178,2171
Partition 28	2071,2115,2127,2114
Partition 29	2128,2174,2173,2177
Partition 30	2124,2183,2184
Partition 31	2200,2199,2185
Partition 32	2191,2189,2190
Partition 33	2198,2196,2197
Partition 34	2192,2193,2186,2195,2194
Partition 35	2116,2117,2118
Partition 36	2073,2121,2119,2122
Partition 37	2126,2123,2188
Partition 38	2064,2125,2120,2179
Partition 39	2187,2180,2181,2182
