cut	62
Partition 0	3579,3580,3578,3528
Partition 1	3561,3560,3547
Partition 2	3613,3562,3612
Partition 3	3584,3583,3582
Partition 4	3586,3589,3587,3588
Partition 5	3585,3581,3576,3577
Partition 6	3593,3594,3595
Partition 7	3539,3542,3569,3568
Partition 8	3544,3540,3545,3546
Partition 9	3609,3610,3611
Partition 10	3526,3603,3602,3601
Partition 11	3573,3572,3566,3571
Partition 12	3570,3563,3564,3565
Partition 13	3591,3592,3600
Partition 14	3596,3575,3574
Partition 15	3532,3533,3599,3598
Partition 16	3549,3550,3551
Partition 17	3522,3530,3520,3529
Partition 18	3534,3535,3537,3536
Partition 19	3557,3548,3552
Partition 20	3538,3558,3559,3543
Partition 21	3523,3541,3590,3606
Partition 22	3608,3607,3604,3605
Partition 23	3527,3597,3554
Partition 24	3524,3525,3567,3531
Partition 25	3521,3553,3555,3556
