cut	46
Partition 0	0,15,19,47,62,71
Partition 1	25,66,79,93,51
Partition 2	1,41,11,35,89
Partition 3	43,27,50,56,86
Partition 4	28,14,17,75
Partition 5	26,69,37,38,63
Partition 6	16,30,33,40,80
Partition 7	7,12,39,44,65,49
Partition 8	4,32,22,58,88,92,95
Partition 9	3,10,72,82,87
Partition 10	18,21,29,57,84
Partition 11	20,6,59,67,94
Partition 12	2,31,36,45,76,96
Partition 13	60,61,97,70,81
Partition 14	5,24,48,77,83
Partition 15	8,64,68,73,78,90
Partition 16	55,42,53,99,91
Partition 17	9,34,46,54,98
Partition 18	13,23,52,74,85
