iteration	t
1	3,36,41,57,83,146,150,166,318,407,579,669,674,729,855,964,966,968,1341,1459,1575,1592,1607,1726,2010,2071,2217,2321,2513,3093,3576,5023,5361,6868,11796,15123,26967,38691
2	17,20,21,42,46,66,80,279,305,436,440,460,488,522,703,740,877,966,1090,1201,1205,1257,1631,1645,1768,2304,2555,2988,2990,3043,3044,3187,3543,3629,12731,13896,35213,35926,70746
3	16,36,68,110,127,154,158,173,286,362,411,487,504,551,603,657,843,864,923,939,948,1234,1335,1362,2318,2802,2950,3367,3819,13455,14664,27431
4	38,92,150,160,230,235,286,298,314,408,482,526,643,715,762,773,1007,1154,1226,1331,1351,1402,1817,2020,2049,2600,3367,3489,4027,4771,12903,29653,115913,116213
5	26,32,47,70,99,105,126,153,281,282,283,315,428,477,560,616,643,660,662,727,756,856,1098,1336,1513,1662,1798,2422,2576,3024,3346,4141,4646,5991,6031,7981,8082,10726,10962
6	4,8,15,16,56,67,135,165,209,233,253,276,327,360,365,421,442,456,592,711,779,918,960,981,1205,1302,1307,1468,1667,2344,2601,2853,7217,8256,12360,12683
7	92,106,117,127,179,203,223,227,253,269,292,322,394,395,418,439,532,546,559,779,965,1100,1137,1296,1725,2199,2312,2444,3339,8777,10968,105028,200478
8	1,8,46,60,82,88,242,325,327,384,416,475,483,500,616,694,697,735,748,808,908,928,937,1101,1174,1223,1251,1486,1736,1739,1863,1948,2290,2689,3305,12785,15906,16624,44631,56190
9	19,20,66,75,122,146,166,277,293,312,408,460,602,622,657,759,775,845,965,1437,1463,1518,1706,2186,2340,2500,4014,4130,4968,5373,5668,5973,6681,7766,24098,80810,86269
10	4,29,33,52,119,155,176,233,252,310,326,409,448,469,477,585,651,668,716,779,784,801,878,911,1170,1520,1606,2397,2398,3353,3438,5586,5625,7013,7379,15836,16149,68163,71380
