cut	51
Partition 0	18,4,98
Partition 1	2,36,37,77
Partition 2	87,93,64,80
Partition 3	14,51,69
Partition 4	15,19,74
Partition 5	7,16,61,63,82
Partition 6	12,46,49,50
Partition 7	11,38,90,91
Partition 8	44,88,35,54
Partition 9	6,43,55,68
Partition 10	22,26,76,81
Partition 11	13,59,95,97,62
Partition 12	5,28,48,66
Partition 13	0,8,34,23
Partition 14	39,57,21,24
Partition 15	71,27,45,70
Partition 16	1,25,40,99
Partition 17	10,32,52,67
Partition 18	20,30,42,58
Partition 19	31,33,41,84
Partition 20	9,47,65,73,94
Partition 21	17,72,85,89
Partition 22	83,86,92,96
Partition 23	3,56,79
Partition 24	75,29,53,60,78
