iteration	t
1	1,9,63,73,78,94,105,115,126,176,199,262,317,342,344,346,349,386,402,410,514,518,674,987,998,1147,1236,1273,1361,1540,1555,1875,1963,2159,2190,2218,2487,2608,4238,4302,4339,4621,5340,8054,99647,99654,136659
2	14,20,23,27,90,129,136,140,181,196,221,237,256,353,389,399,431,472,479,550,571,594,737,753,791,833,864,954,1020,1157,1360,1536,1712,2450,2828,4806,5289,9286,16079,18370,25320,36540,93093,94221
3	2,40,42,66,72,92,96,142,147,204,234,250,319,333,385,501,507,540,544,565,585,627,838,885,964,1030,1098,1164,1602,1667,1903,2627,3117,3856,3995,4173,4629,5093,19981,25846
4	3,64,72,76,103,134,212,218,230,293,318,335,353,360,377,403,434,465,472,561,587,603,645,655,694,742,797,911,991,1048,1099,1104,1338,1591,1595,1790,1795,2116,2120,2254,2600,2708,7255,14885,20840,22335
5	18,39,48,50,64,90,94,101,119,131,142,160,178,202,237,243,244,264,265,329,479,484,513,591,719,728,881,942,994,1031,1207,1255,1257,1579,1686,1697,2123,2570,3152,3307,4429,13186,22564,237486,309103,390567
6	13,14,34,60,61,74,76,79,98,122,123,125,138,147,186,227,233,377,392,396,421,501,568,617,635,723,750,811,875,945,971,1043,1202,1439,1501,1902,2152,4866,6624,7358,8823,14950,27936,37773,44836,55068,63244,116205,138113,180716
7	33,44,46,57,88,113,136,177,200,217,218,287,311,327,378,397,423,448,477,488,600,605,668,691,851,900,949,966,973,1087,1381,1642,1662,1664,1870,2136,2397,2863,3031,3076,3101,3483,3493,4111,5612,7150,20540,39924,181284
8	33,58,67,113,151,152,194,213,220,225,289,330,339,348,381,390,432,455,474,483,581,694,710,737,785,796,807,1066,1121,1192,1331,1448,1475,1680,1981,2176,2234,2323,2618,4401,18553,20206,28937,30093,30635,32053
9	11,12,65,86,92,94,105,114,149,151,153,155,200,202,203,220,262,311,324,345,367,397,407,493,496,533,561,622,767,1205,1626,1731,1736,2051,2094,2681,2829,5542,12469,15020,19143,20442,20610,23478
10	15,23,35,92,94,104,106,121,135,157,176,276,277,294,353,380,401,426,477,646,1015,1064,1369,1451,1482,1498,1513,1676,1813,1829,1853,2684,2730,3697,3741,3927,4242,12411,13266,21438,21807,24444,32786,138498
