iteration	t
1	488,592,1821,4599,4609,4621,4623,4636,4658,4682,4777,4826,4840,4937,4960,5727,8819,9001,9237
2	435,458,460,473,505,559,573,584,589,603,672,778,891,906,1097,1119,1131,1145,1218,1276,1297,1321,1353,1357,1424,1427,1428,2007,2014,2050,2272,2450,2675,2700,2822,2936,3182
3	236,255,268,273,285,303,309,351,383,476,530,1134
4	1916,2184,2309,2383,2451,2477,2484,2506,2538,2558,2569,2589,2596,2600,2664,2858,2876,3541
5	64,73,88,90,114,182,322,325,592,607,659,1317,1383,1444,4931
6	1,27,37,400,459,463,495,553
7	16,152,5291,5305
8	14,25,30,52,665,2206,2240
9	41,45,79,80,120,188,243,260,289,307,1589,1598,1599,2158
10	33,759,3916
