iteration	t
1	9,46,106,142,271,284,300,313,530,619,650,706,742,974,978,1189,1247,1277,1474,1528,1722,1876,2355,3110,4612,6288,6516,6824,7853,12483,12491,14252,16654,16684,19480
2	38,75,82,97,141,177,211,290,405,420,487,500,599,944,1025,1391,1667,2112,2148,2717,2788,4104,4242,5683,5928,6677,6770,8311,10328,12728,12832,19984,71937
3	37,69,308,313,421,461,493,578,746,963,1017,1282,1412,1531,1658,1867,2098,2208,2508,2777,2778,3039,3089,3152,3474,3857,4005,4777,5179,5687,5923,10128,28930
4	49,331,390,419,496,862,869,1138,1163,1202,1265,1496,1508,1516,2280,2436,2616,2684,2917,2991,3127,3288,3697,3725,4914,6025,9929,10105,13220,21522
5	52,58,62,84,204,222,253,384,400,414,497,587,631,764,766,1080,1254,1321,1563,1639,1799,1864,1888,1972,2110,2576,2969,7339,12638,14887,17819
6	112,119,180,185,276,381,469,487,522,641,1174,1180,1217,1218,1449,1762,1809,1910,2261,2974,3207,4985,5224,6928,8063,10471,10596,11252,21450,22537,33711,38285,44240,47088,47739,91456
7	13,121,162,175,250,651,757,855,863,1008,1253,1390,1596,1732,1802,1805,1914,2142,2166,2219,2727,2899,3054,3198,3404,4013,4096,4283,5038,5165,5832,7658,53790,55367
8	13,81,144,158,159,197,268,341,655,705,716,749,806,926,935,1051,1410,1596,1651,2450,2499,2644,2786,3139,4344,6293,12695,18413,19270,22729,31912
9	12,49,249,306,310,397,521,532,621,750,847,849,867,933,1056,1113,1166,1188,1280,1470,1535,1614,1854,1886,2080,2661,2957,3244,27595,27831,27967,29547
10	28,81,84,117,248,316,345,373,414,447,452,544,646,690,733,1051,1195,1229,1241,1396,3766,4125,4658,5933,6380,8139,8356,8763,10054,10919,14992,107586
