Category	Circuit	Npart	Sol	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5-input	90564	3	112	21	hc	False	True	True	True	2	2	4	3
5-input	4981	5	7	27	lc	False	True	False	True	4	2	9	9
5-input	34261	4	2	28	lc	True	True	True	True	3	2	6	6
5-input	82006	3	175	23	hc	False	True	True	True	2	2	4	4
5-input	43950	5	9	28	lc	False	True	False	True	3	2	9	9
5-input	33649	5	2	34	lc	False	True	True	True	3	2	8	8
5-input	44784	3	1	26	lc	True	True	False	True	2	2	5	5
5-input	28631	5	5	27	hc	False	True	True	True	2	3	7	6
5-input	56870	4	2	28	lc	True	True	False	True	2	2	6	5
5-input	92868	4	10	28	lc	False	True	False	True	2	3	8	8
5-input	59988	3	0	25	lc	True	True	True	True	2	2	4	4
5-input	44062	8	8	36	lc	False	True	True	True	4	3	13	14
5-input	92119	3	4	25	lc	True	True	False	True	2	1	4	4
5-input	26442	5	3	32	lc	True	True	False	True	3	2	9	8
5-input	70658	4	5	28	hc	False	True	False	True	3	3	5	5
5-input	71517	4	1	31	lc	True	True	False	True	3	2	5	5
5-input	35490	3	1	26	hc	True	True	False	True	2	2	3	3
5-input	57612	5	2	31	lc	False	True	False	True	3	3	9	8
5-input	39460	4	1	27	lc	True	True	False	True	3	2	6	6
5-input	78606	4	1	29	lc	True	True	False	True	3	2	6	6
5-input	90615	4	3	28	lc	True	True	True	True	3	2	5	5
5-input	47017	4	1	29	lc	True	True	True	True	3	2	6	6
5-input	52531	5	5	30	lc	False	True	False	True	4	3	10	9
5-input	65385	5	4	33	lc	True	True	False	True	3	2	9	8
5-input	65376	3	1	22	hc	True	True	False	True	2	1	3	2
5-input	46310	3	0	22	lc	True	True	True	True	1	1	3	3
5-input	94058	8	9	37	lc	False	True	True	True	4	2	13	13
5-input	72745	5	4	31	hc	False	True	True	True	3	4	7	7
5-input	47630	5	1	29	lc	True	True	False	True	3	3	8	8
5-input	34797	3	345	22	hc	False	True	True	True	2	2	4	4
5-input	24161	4	1	28	lc	False	True	False	True	3	2	8	7
5-input	90460	6	2	35	lc	False	True	False	True	4	3	11	11
5-input	65532	3	1	25	lc	False	True	True	True	2	2	6	6
5-input	54680	8	2	33	hc	False	True	False	True	4	4	12	11
5-input	96930	4	0	27	lc	True	True	True	True	2	2	7	7
5-input	61281	3	8	22	hc	False	True	True	True	1	1	3	2
5-input	90373	7	5	33	lc	False	True	True	True	4	3	11	11
5-input	6832	5	2	30	lc	True	True	False	True	3	2	8	9
5-input	88715	7	5	32	lc	True	True	False	True	4	3	11	12
5-input	47980	6	8	28	hc	False	True	False	True	4	5	8	8
5-input	91237	6	1	35	lc	False	True	False	True	3	3	10	10
5-input	43512	8	1	34	lc	False	True	False	True	4	4	14	14
5-input	68956	4	0	31	lc	True	True	True	True	2	2	7	7
5-input	18087	4	3	29	lc	False	True	False	True	2	2	7	6
5-input	57515	5	1	31	hc	False	True	True	True	3	4	7	7
5-input	46493	3	0	22	lc	True	True	True	True	2	2	4	4
5-input	76297	5	2	29	lc	False	True	True	True	2	2	9	9
5-input	9210	7	0	37	lc	True	True	True	True	3	3	12	12
5-input	42067	11	4	39	lc	False	True	False	True	4	3	16	19
5-input	42404	4	0	32	lc	True	True	True	True	2	2	7	7
5-input	64931	4	3	27	lc	False	True	False	True	3	2	8	7
5-input	80727	4	5	29	hc	False	True	False	True	3	3	6	5
5-input	23810	5	2	30	lc	True	True	True	True	3	2	7	7
5-input	74178	4	0	27	lc	True	True	True	True	2	2	6	6
5-input	49091	5	5	31	lc	False	True	True	True	2	2	9	8
5-input	6684	3	23	22	hc	True	True	True	True	2	1	2	2
5-input	55865	5	2	31	hc	False	True	False	True	3	4	8	7
5-input	5603	4	0	28	lc	True	True	True	True	2	2	7	7
5-input	10607	4	0	29	lc	True	True	True	True	2	2	8	8
5-input	87839	3	1	25	hc	True	True	False	True	3	2	3	3
5-input	54207	4	3	27	lc	True	True	False	True	3	2	6	7
5-input	34918	4	5	28	lc	False	True	True	True	2	2	7	7
5-input	12818	6	5	29	hc	False	True	False	True	3	3	8	7
5-input	36413	4	2	31	lc	True	True	False	True	3	2	7	6
5-input	54264	4	1	27	hc	False	True	True	True	3	2	5	4
5-input	2107	7	0	32	lc	True	True	True	True	4	4	11	11
5-input	42709	4	8	27	lc	False	True	True	True	2	2	8	8
5-input	98263	4	46	24	hc	False	True	False	True	3	2	6	5
5-input	1397	4	0	32	lc	True	True	True	True	2	2	7	7
5-input	48024	4	0	33	lc	True	True	True	True	2	2	6	6
5-input	90463	6	7	37	lc	True	True	True	True	3	2	9	9
5-input	66979	9	4	37	lc	False	True	True	True	4	5	15	15
5-input	5556	4	4	31	lc	True	True	False	True	3	2	7	7
5-input	21475	4	4	30	lc	True	True	False	True	3	2	7	7
5-input	71130	6	10	32	hc	False	True	True	True	3	4	8	8
5-input	87277	3	1	24	lc	True	True	False	True	3	2	4	4
5-input	71165	4	1	27	lc	True	True	False	True	2	2	5	5
5-input	3830	3	4	22	hc	False	True	False	True	3	2	5	4
5-input	26658	4	1	29	lc	True	True	False	True	3	2	7	6
5-input	24130	6	2	34	hc	False	True	False	True	4	3	9	8
5-input	72312	4	2	29	lc	True	True	True	True	3	2	7	6
5-input	53065	4	1	31	lc	True	True	False	True	2	2	7	7
5-input	15968	5	1	33	lc	False	True	False	True	3	2	8	7
5-input	14623	5	1	29	lc	True	True	False	True	3	3	8	8
5-input	36527	8	6	37	lc	False	True	True	True	3	3	14	13
5-input	79845	3	1	26	lc	True	True	False	True	3	2	5	5
5-input	1273	5	1	35	lc	False	True	True	True	3	3	9	9
5-input	66234	8	5	33	lc	False	True	False	True	5	4	13	14
5-input	23439	4	8	30	lc	False	True	False	True	3	2	8	6
5-input	76407	4	1	30	lc	True	True	False	True	3	2	6	6
5-input	57143	4	1	31	lc	False	True	False	True	2	2	7	7
5-input	59688	3	0	25	lc	True	True	True	True	2	2	4	4
5-input	61042	4	0	27	lc	True	True	True	True	2	2	5	5
