iteration	t
1	393,536,626,628,642,718,1025,1223,1963,2322,2350,2672,2707,2724,2732,2947,3040,3830,3928,3946,4097,4683
2	294,335,379,403,411,1060,1116,1145,1920,2003,2236,2443,2556,2557,3029,6780
3	521,527,638,651,654,676,687,994,1276,1315,1335,1407,1666,1735,1755,1767,1769,1890,2110,2118,2238,2263,2305,2810,3067
4	739,773,820,857,922,1029,1051,1065,1164,1247,1318,1347,1362,1398,1428,1434,1729,2122,2124,2130,2160,2187,2320,5066
5	261,308,333,334,344,455,535,537,677,728,732,887,925,1013,1037,1115,1124,1153,1167,1295,1313,1372,2184,2566,4472,7671,7825
6	1,30,191,336,1859,4469,4479,4483,4488,4523,5324,13432,19855
7	25,40,81,138,184,418,848,5361,7149,7169,9728,9735
8	15,16,47,1564,2431,2504,3769
9	2,19,37,52,62,70,101,191,302,444,740,874,1191,3551,10542
10	4,16,41,83,346,663,1365
