iteration	t
1	156,233,252,254,303,491,507,537,715,898,1186,1696,2028,3042,5266,5454,6171
2	11,42,110,236,317,454,455,490,504,716,727,802,809,823,848,882,900,1182,1327,1464,1709,3042,3763,4044,4646,5020,5984,6023,6043
3	48,81,118,137,147,314,345,437,468,472,528,531,554,558,568,588,598,632,693,723,979,1211,1233,1248,1534,1550,1558,1600,2396
4	243,298,326,330,346,374,392,441,464,514,522,537,560,693,785,792,845,897,927,2606
5	8,37,42,61,92,160,193,231,265,275,392,399,437,1106,1192,1262
6	19,64,95,111,125,128,309,321,326,470,563,1025,1342,1456,3314,3344,3488,3621
7	37,83,107,145,207,232,325,368,375,485,505,613,1026,1547
8	14,61,104,129,163,189,190,315,563,582,591,670,704,718,776,1179,1267,1552
9	8,49,111,118,122,148,214,382,402,634,810,838,850,1264,1691,3026,3170
10	37,48,108,211,255,415,679,724,1169,1358,1626,1679,1719,1957,2088
