cut	128
Partition 0	2,97,46
Partition 1	70,16,96
Partition 2	59,47,95,60
Partition 3	71,83,56
Partition 4	0,67,88,13
Partition 5	4,90,54
Partition 6	57,48,75,41
Partition 7	36,69,51
Partition 8	64,32,24,19
Partition 9	78,33,43,21
Partition 10	39,65,20
Partition 11	27,34,91,30
Partition 12	52,99,62
Partition 13	1,18,98,29,50
Partition 14	66,42,14
Partition 15	12,25,28
Partition 16	45,53,11,23
Partition 17	77,22,82,40
Partition 18	17,10,80
Partition 19	9,35,74
Partition 20	3,73,94,93,76
Partition 21	55,31,44
Partition 22	5,81,38
Partition 23	58,85,6,61
Partition 24	89,63,79
Partition 25	68,72,26,8
Partition 26	92,15,87,84
Partition 27	86,7,49,37
