iteration	t
1	509,1501,1509,5509,8837,12216,12219
2	130,2367,2428,2481,2525,8544,8843
3	4109,4780,13171,13249,13995,14423
4	1921,7831,7840,7891,7927,9100
5	631,3346,14367,14372,14428,14505,14517
6	6174,7907,7924,10036,11680,11827,12119,12499
7	1771,2604,3197,3212,3237,6259,6465,9493
8	1970,4434,9363
9	192,3425
10	464
11	260,275,407,428,1582
12	1652,3183,3194,3339,7577,8355,8400,8487,8916
13	3982,4008,4255,6810,6840
14	1164,2174,3353,3399,3596,5670
15	681,1128,1667,1717,2048,5444
