path	1
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
path	2
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
path	3
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
path	4
T	6
cut	18
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	175,162,176
Partition 7	155,134,142,135,156
Partition 8	157,158,161,159,173,160,174
path	5
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
path	6
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
path	7
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
path	8
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
path	9
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
path	10
T	7
cut	19
Partition 0	147,171,140,148,172
Partition 1	132,144,145,146,133
Partition 2	149,169,150,154,170
Partition 3	138,143,151,152,153,139
Partition 4	167,165,166,168
Partition 5	136,141,163,164,137
Partition 6	155,175,162,156,176
Partition 7	134,142,157,161,135
Partition 8	158,159,173,160,174
