iteration	t
1	182,208,487,516,830,838,845,876,934,1595,1612,1697,1893,2085,2152,2201,2437,2531,2550,2708,3562,3891,5268,6864,8536,11133,12650,13447,64013,208967
2	40,107,247,262,268,352,357,393,417,453,498,794,851,852,875,994,1278,2691,3024,3115,3158,3384,5050,5861,8392,10331,11622,11799,31345,56734,182568
3	210,303,525,903,1006,1016,1256,1262,1420,1463,1539,1604,1637,1965,4431,4594,4828,5709,7645,9245,9652,10762,12300,14502,16142,19796,20246,24904,29760,29930
4	101,158,193,429,665,729,864,959,1166,1189,1290,1401,1664,1908,1920,2105,2197,3149,3170,3273,3340,3755,5242,6020,8120,10940,14467,18644,20299,22155,79936,118457
5	201,253,429,439,491,497,513,552,728,894,939,1030,1815,2018,2106,2201,2712,2926,2936,3044,3906,3953,4257,4513,4564,5130,5293,6268,6509,10891,15536,19578,32551,33002,103152
6	120,226,532,566,621,741,847,988,1002,1091,1154,1211,1231,1399,1422,1658,1961,2580,2744,2837,3712,3897,4264,5673,5977,6017,6302,6740,20656,26211,27208,52195,84108,96665
7	31,97,169,263,277,454,557,570,1181,1320,1656,2037,2160,2210,2247,3006,3083,3275,3898,4367,4551,4761,4799,5007,5228,8394,9856,32439,39988,40866
8	54,122,223,413,433,578,738,763,851,1412,1476,1837,1874,1993,2220,2237,2418,2777,2969,2990,3139,3248,3251,4929,5175,5381,5819,12218,16755,27666,27751,67247,105419,173775
9	11,53,77,138,269,401,651,793,944,1015,1088,1126,1140,1189,1211,1216,1401,1887,2496,2530,4054,4390,5827,5837,6302,7308,10124,12450,102534,201757
10	291,316,972,1067,1120,1343,1521,1652,1720,1732,1768,2116,2172,2193,2329,2656,2863,3234,3318,5320,5695,6729,7192,7405,7571,8691,8939,15792,16171,19528,64069,72200,74195,162584,280214,284587
