cut	51
Partition 0	4,44,82
Partition 1	72,12,24,26
Partition 2	66,87,57,67
Partition 3	5,52,81
Partition 4	9,48,30,49
Partition 5	16,31,32,65,61
Partition 6	41,13,46,73
Partition 7	23,77,14,84
Partition 8	53,33,42,78,56
Partition 9	20,21,47,62,59,68
Partition 10	8,18,25,55
Partition 11	7,38,43,71
Partition 12	50,10,27,63
Partition 13	3,22,54,76,51
Partition 14	36,75,39,74
Partition 15	28,19,15,86,58
Partition 16	2,35,17,69
Partition 17	1,85,29,64
Partition 18	40,88,80,79,0
Partition 19	11,34,45,70
Partition 20	6,37,83,89,60
