iteration	t
1	1,42,46,81,140,265,305,320,562,574,577,652,673,680,736,1093,1162,1257,1313,1794,1822,1889,1912,1919,2399,2770,3365,4793,5042,6107,6875,7786,8955,10720,19053,35448,72828,104195,107387
2	18,108,113,136,178,202,251,355,392,442,580,591,774,807,843,880,922,927,1089,1253,1558,1621,1825,1912,1931,2326,2457,2854,4555,5430,6443,9052,10836,14565,18421,21094,32038
3	19,94,104,125,145,146,153,160,167,264,315,330,378,539,546,637,645,673,707,920,1056,1166,1268,1314,1333,1384,1521,1627,2018,3194,4817,5149,7410,10987,13590,15519,33667,45972,57348,154452
4	55,101,158,211,221,289,353,364,387,449,457,461,470,578,609,660,663,798,811,945,1193,1199,2380,2524,3566,4589,6585,6725,10484,10785,10911,13984,17436,20446,32039,36426,172290
5	40,111,143,156,185,235,275,280,285,360,393,524,814,835,936,967,1006,1058,1168,1265,1501,2104,2339,2502,2737,3307,3322,3438,3637,3997,4106,4117,4955,9415,9937,10690,13671,14113,22391,35070,35338,41883,43191,91646,112529
6	48,130,158,189,204,218,220,265,289,339,447,449,546,609,626,649,709,742,875,928,1037,1111,1305,1422,1486,1525,1668,1950,2084,2449,2667,2747,2924,2941,6726,15621,22904,33233,159414,168287,218944,219162,439042
7	41,64,69,103,145,223,242,268,339,354,364,465,614,617,637,665,732,767,774,954,1135,1220,1340,1409,1494,1560,1649,1749,1772,2067,2195,2397,3680,6272,7153,17000,20864,76533,115504
8	2,29,230,248,259,369,386,414,430,496,560,653,707,885,942,1076,1287,1370,1608,1616,1815,1930,2087,2134,2158,2192,2222,2235,2239,2516,2740,4765,6122,7081,7698,9888,17797,23025,31908,71899
9	4,68,176,247,260,288,309,340,465,524,612,808,860,871,897,949,1142,1320,1439,1607,1696,2214,2250,2400,2582,2874,3575,3620,4149,4626,5054,7815,8835,10869,13407,17543,18264,21114,40494,41231,49932,51099,60304,64263,440747
10	45,55,61,136,199,328,492,494,602,679,707,729,936,1111,1242,1248,1519,1680,1941,2195,2379,2534,2723,2982,3229,3434,3525,4041,5866,7314,7342,9711,9724,9779,10731,10811,28647,31714,79277
