cut	39
Partition 0	0,16,65,20,77
Partition 1	46,52,61,70,79
Partition 2	18,23,38,72
Partition 3	2,5,25,35,49
Partition 4	47,48,57,82,89
Partition 5	53,80,83
Partition 6	28,41,43,81
Partition 7	9,21,44,62,74
Partition 8	17,34,73
Partition 9	6,8,45,59,87
Partition 10	3,4,15,42
Partition 11	14,40,66,86
Partition 12	12,36,71,75
Partition 13	1,50,55,63,69
Partition 14	37,64,84,58,88
Partition 15	13,26,30,67,78
Partition 16	19,32,22,39
Partition 17	10,60,31,51,54
Partition 18	7,24,27,33,76
Partition 19	11,56,68,85,29
