cut	103
Partition 0	78,80,67
Partition 1	39,40,41
Partition 2	45,43,42
Partition 3	12,13,14
Partition 4	74,15,16
Partition 5	11,9,10,8
Partition 6	76,75,77
Partition 7	72,69,70
Partition 8	71,84,73
Partition 9	46,21,44
Partition 10	54,55,53
Partition 11	52,49,50,51
Partition 12	47,23,48
Partition 13	58,56,57,59
Partition 14	1,81,79
Partition 15	2,3,4
Partition 16	6,5,7
Partition 17	89,0,88
Partition 18	32,31,33
Partition 19	36,34,87
Partition 20	86,82,83,85
Partition 21	62,60,61
Partition 22	65,63,64
Partition 23	35,66,37
Partition 24	29,30,27,28
Partition 25	68,26,24
Partition 26	38,22,25
Partition 27	18,17,20,19
