cut	147
Partition 0	2067
Partition 1	2079,2080,2085
Partition 2	2084,2086,2081
Partition 3	2102,2101
Partition 4	2077,2090
Partition 5	2078,2091,2092
Partition 6	2096,2097,2075
Partition 7	2099
Partition 8	2063,2094
Partition 9	2083,2087
Partition 10	2082,2088,2062
Partition 11	2103,2104
Partition 12	2095,2098,2105
Partition 13	2089,2093
Partition 14	2100,2107,2106
Partition 15	2192,2193,2194
Partition 16	2191,2190
Partition 17	2198
Partition 18	2196,2195,2197
Partition 19	2185,2186
Partition 20	2065,2183
Partition 21	2200
Partition 22	2199,2184
Partition 23	2126,2188
Partition 24	2064,2125
Partition 25	2187,2189
Partition 26	2181,2182
Partition 27	2069,2111
Partition 28	2109,2108
Partition 29	2112,2110
Partition 30	2124,2123
Partition 31	2117,2121
Partition 32	2119,2122,2118
Partition 33	2071,2116
Partition 34	2113,2115,2114
Partition 35	2144,2151
Partition 36	2142,2143
Partition 37	2141,2149,2150
Partition 38	2073
Partition 39	2129,2068
Partition 40	2146,2147
Partition 41	2066,2131
Partition 42	2145,2148
Partition 43	2132,2135
Partition 44	2134,2136,2133
Partition 45	2130,2076,2139
Partition 46	2138,2140
Partition 47	2127,2174
Partition 48	2128,2173,2177
Partition 49	2180,2175,2178
Partition 50	2176,2171
Partition 51	2120,2179
Partition 52	2137,2153,2152
Partition 53	2170,2172
Partition 54	2154,2167,2169
Partition 55	2166,2168
Partition 56	2164,2163
Partition 57	2070
Partition 58	2162,2161,2165
Partition 59	2158
Partition 60	2157,2160,2074
Partition 61	2155
Partition 62	2072,2156,2159
