cut	110
Partition 0	2200,2199,2184
Partition 1	2185,2124,2183,2186,2195
Partition 2	2198,2196,2197,2194
Partition 3	2191,2192,2193,2189,2190
Partition 4	2187,2180,2179,2181
Partition 5	2064,2125,2126,2182
Partition 6	2117,2073,2121,2118
Partition 7	2119,2122,2120,2123,2188
Partition 8	2166,2168,2169,2171
Partition 9	2153,2154,2170,2152,2167
Partition 10	2115,2127,2174,2177,2172
Partition 11	2128,2176,2173,2175,2178
Partition 12	2070,2162,2161,2165
Partition 13	2163,2071,2116,2159
Partition 14	2072,2156,2158,2074
Partition 15	2164,2155,2157,2160
Partition 16	2090,2075,2091,2092
Partition 17	2096,2085,2084,2086,2081
Partition 18	2065,2077,2078,2080
Partition 19	2079,2102,2101,2067
Partition 20	2112,2087,2109,2110
Partition 21	2069,2111,2113,2114
Partition 22	2093,2107,2108,2106
Partition 23	2097,2098,2103,2105,2104
Partition 24	2131,2132,2068,2133
Partition 25	2066,2129,2142,2143
Partition 26	2130,2138,2076,2139,2140
Partition 27	2135,2145,2134,2136
Partition 28	2095,2149,2144,2151,2150
Partition 29	2146,2148,2089,2141,2147
Partition 30	2082,2088,2083,2062,2137
Partition 31	2063,2094,2099,2100
