cut	73
Partition 0	11,26,53,87
Partition 1	30,78,37
Partition 2	74,2,88
Partition 3	38,39,42
Partition 4	8,68,9
Partition 5	83,28,25,29
Partition 6	13,71,84
Partition 7	10,15,85
Partition 8	6,54,34,61
Partition 9	43,14,18,76
Partition 10	41,36,73
Partition 11	12,21,33,72
Partition 12	22,16,31,69
Partition 13	46,47,55,64
Partition 14	1,89,19
Partition 15	20,65,77
Partition 16	40,75,60
Partition 17	4,51,79
Partition 18	32,0,52,66
Partition 19	23,27,24,44
Partition 20	58,62,63
Partition 21	81,49,70
Partition 22	56,45,59
Partition 23	80,35,67,57
Partition 24	3,7,86,82
Partition 25	5,50,17,48
