cut	95
Partition 0	17,39,47
Partition 1	63,10,59
Partition 2	51,49,50
Partition 3	11,13
Partition 4	8,12,26
Partition 5	15,65,21
Partition 6	32,16
Partition 7	56,58
Partition 8	34,35,60
Partition 9	48,46
Partition 10	6,67,68
Partition 11	7,33,37
Partition 12	43,29,27
Partition 13	55,61
Partition 14	20,0,19
Partition 15	5,53,14
Partition 16	25,24
Partition 17	57,45,38
Partition 18	52,69,36
Partition 19	2,64
Partition 20	31,44,9
Partition 21	1,30,28
Partition 22	62,66
Partition 23	3,4,18
Partition 24	22,41,23
Partition 25	42,40,54
