cut	73
Partition 0	2063,2088,2099,2062,2089
Partition 1	2090,2092,2093,2107,2108
Partition 2	2082,2083,2087,2137,2109,2110
Partition 3	2077,2102,2101,2067,2103
Partition 4	2096,2078,2097,2075,2091
Partition 5	2065,2079,2080,2085,2084,2086,2081
Partition 6	2129,2130,2138,2139,2140,2068
Partition 7	2132,2135,2134,2136,2133
Partition 8	2066,2131,2142,2143,2076
Partition 9	2100,2098,2105,2106,2104
Partition 10	2146,2145,2148,2141,2149,2147
Partition 11	2094,2095,2144,2151,2150,2152
Partition 12	2069,2111,2127,2176,2178
Partition 13	2128,2174,2175,2177,2172
Partition 14	2153,2173,2168,2170,2171
Partition 15	2072,2157,2156,2158,2160,2074
Partition 16	2162,2161,2165,2154,2167,2169
Partition 17	2070,2164,2163,2166,2155,2159
Partition 18	2112,2113,2071,2115,2114
Partition 19	2073,2119,2120,2180,2179,2181
Partition 20	2116,2117,2187,2121,2122,2118
Partition 21	2191,2192,2193,2195,2194
Partition 22	2200,2198,2185,2186,2196,2197
Partition 23	2124,2189,2123,2188,2190
Partition 24	2199,2064,2125,2183,2126,2184,2182
