path	1
T	NA
cut	68
Partition 0	30,85,86,83,84,27,28,29,87
Partition 1	20,22,23,25,24,67,26,64,63,65
Partition 2	60,58,81,61,55,62,59,57
Partition 3	1,0,89,2,4,88,77,3,69
Partition 4	79,80,76,74,78,68,70,75,66
Partition 5	39,42,36,72,34,33,41,40,38
Partition 6	73,17,31,14,71,15,16,35,32
Partition 7	5,7,6,8,9,10,11,12,13
Partition 8	52,37,50,54,46,48,47,51,53
Partition 9	19,49,56,43,45,82,44,18,21
path	2
T	NA
cut	68
Partition 0	30,85,86,83,84,27,28,29,87
Partition 1	20,22,23,25,24,67,26,64,63,65
Partition 2	60,58,81,61,55,62,59,57
Partition 3	1,0,89,2,4,88,77,3,69
Partition 4	79,80,76,74,78,68,70,75,66
Partition 5	39,42,36,72,34,33,41,40,38
Partition 6	73,17,31,14,71,15,16,35,32
Partition 7	5,7,6,8,9,10,11,12,13
Partition 8	52,37,50,54,46,48,47,51,53
Partition 9	19,49,56,43,45,82,44,18,21
path	3
T	NA
cut	68
Partition 0	30,85,86,83,84,27,28,29,87
Partition 1	20,22,23,25,24,67,26,64,63,65
Partition 2	60,58,81,61,55,62,59,57
Partition 3	1,0,89,2,4,88,77,3,69
Partition 4	79,80,76,74,78,68,70,75,66
Partition 5	39,42,36,72,34,33,41,40,38
Partition 6	73,17,31,14,71,15,16,35,32
Partition 7	5,7,6,8,9,10,11,12,13
Partition 8	52,37,50,54,46,48,47,51,53
Partition 9	19,49,56,43,45,82,44,18,21
