cut	66
Partition 0	5,7
Partition 1	55,39
Partition 2	52,61,19
Partition 3	47,10
Partition 4	1,35,40
Partition 5	45,21,18
Partition 6	12,30
Partition 7	38,46,16
Partition 8	59,44,68
Partition 9	48,31
Partition 10	49,57
Partition 11	37,63
Partition 12	4,36,65,32
Partition 13	22,43
Partition 14	25,50
Partition 15	11,20,60
Partition 16	41,24,53
Partition 17	2,27
Partition 18	6,62
Partition 19	15,29,54,56
Partition 20	8,34,26
Partition 21	51,33,69
Partition 22	0,58,66
Partition 23	3,28,14
Partition 24	9,17
Partition 25	13,64
Partition 26	23,42,67
