iteration	t
1	62,68,130,135,296,694,836,1196,1248,1266,1277,1278,1446,6087,6233,6793
2	79,80,111,125,129,341,362,387,462,794,1466,1517,3389,5903,5925,5975
3	12,29,77,90,213,284,309,1462,1526,1827,1875,2999,3055,3312,4192,4197,4938
4	3,38,44,117,267,299,312,393,796,1064,1074,1111,1334,1761,1867,1929,1932
5	22,57,123,316,362,985,988,1040,2096,2108,2141,2336,2408,2501,4048,4205,5418
6	312,3721,5019,5656
7	8,833,1200,1257,1323,1332,2007,11934,13916,14132,14166,14350,14435
8	326,898,930,2052,9219,14495,14512
9	15,50,304,1663,7792
10	18,48,62,127,262,329,444,704,4923,4955,10447,19469
